series_id,Cs,cover_m,cover_mm,D28,m_aging,C_th,t_init_idx,t_init_year,onset_observed
47,1.2132391332974704,0.09409727379927094,94.09727379927094,6.36723112119273e-12,0.3798940268908662,0.19993964038526088,,,False
48,1.3887965562226219,0.06587850146026514,65.87850146026514,6.846682215643414e-12,0.26601913078925005,0.11699625642175242,147.0,11.268993839835728,True
49,0.41948613846488114,0.09264090901385802,92.64090901385802,4.416900040297815e-12,0.2955125714752864,0.16312701284876374,,,False
50,0.6421399018792837,0.051954176842368305,51.954176842368305,7.142794638894615e-12,0.3225973645842225,0.36175663733230856,,,False
51,0.7349364645983302,0.043105456227265235,43.105456227265236,8.286946382554728e-12,0.2012497336718091,0.4766478007524234,718.0,55.04175222450377,True
52,1.3451075452722996,0.04925052468033228,49.25052468033228,5.5023085721075685e-12,0.3634435258395048,0.11030170693114914,200.0,15.331964407939767,True
53,0.5638225339587405,0.053640815324123556,53.64081532412356,6.738324817515777e-12,0.2338829614236383,0.17682054425920077,310.0,23.76454483230664,True
54,1.4363056382094515,0.08502823341902513,85.02823341902513,5.624276080151759e-12,0.36759194230380743,0.1443626299141294,,,False
55,0.4853652455835653,0.07666493977478306,76.66493977478306,6.040497966651628e-12,0.4038984969400315,0.4537162211033806,,,False
56,0.39651307554116777,0.04713477788100606,47.13477788100606,3.921855737120479e-12,0.22765729386500658,0.3694306275436535,,,False
57,1.5866322725333812,0.0738545310908525,73.85453109085249,7.628976579892741e-12,0.3618673381257497,0.44224292194896453,,,False
58,1.4806907233504982,0.0708493742130196,70.8493742130196,6.0467673097839385e-12,0.3648505111852458,0.3490236741734496,,,False
59,1.0393587717560275,0.08994280838475142,89.94280838475143,6.7778152290399844e-12,0.29247893080631704,0.49153367751065746,,,False
60,0.24422946498667417,0.10930375454238297,109.30375454238298,4.664332852424449e-12,0.22179084916132064,0.1774151543369843,,,False
61,0.7828349220783544,0.0685161675484498,68.5161675484498,5.6729201479523545e-12,0.3702994538828314,0.16378868352327652,,,False
62,0.3636730415912188,0.08183585095526065,81.83585095526065,6.404722355079156e-12,0.42007276413168637,0.12456849338310323,,,False
63,0.36298257282056345,0.08696054081720103,86.96054081720104,3.710028007558128e-12,0.37252406250055414,0.10289780798105615,,,False
64,0.2762971745275957,0.05497955676592013,54.97955676592013,8.934852045093179e-12,0.20766879385903608,0.1699671142180017,559.0,42.85284052019165,True
65,0.4656226284103314,0.07103485544283501,71.03485544283501,3.938600920659488e-12,0.4370754284656926,0.47622057587370203,,,False
66,0.7132634579716672,0.10297036884982297,102.97036884982298,4.757752303160106e-12,0.37036886583481454,0.45866502752689753,,,False
67,0.860687432384734,0.0966458691218002,96.6458691218002,6.194484733471921e-12,0.3134521002908322,0.3853584545258335,,,False
68,1.5198803499381974,0.045499275199779816,45.49927519977982,6.100731812596104e-12,0.3985788431536377,0.13986742036087138,184.0,14.105407255304586,True
69,1.1671783453389244,0.09110804349833629,91.10804349833629,6.123089166855888e-12,0.3464468857597196,0.420087871862761,,,False
70,0.2622154511633864,0.04865928316382343,48.65928316382343,5.242460643504596e-12,0.40148449453877194,0.2110432419597859,,,False
71,1.0147092200717271,0.0680593720513344,68.0593720513344,8.109900030645989e-12,0.33075446437760847,0.4287710987618336,,,False
72,0.3708185354889353,0.06511010651397212,65.11010651397211,7.45865981566297e-12,0.22582517467637409,0.12488162685754509,373.0,28.594113620807665,True
73,0.9692161160232151,0.10770936040363133,107.70936040363132,5.000332166858415e-12,0.4439070802439985,0.4360307940207777,,,False
74,1.239217301024353,0.04939202537853054,49.39202537853054,3.812052272171634e-12,0.32177506126248534,0.3437102971167424,,,False
75,1.1338227560556862,0.09688731859694026,96.88731859694026,4.285143633429564e-12,0.4136763165412566,0.2472590432180744,,,False
76,0.4860742462439075,0.06450127707345588,64.50127707345588,4.915721647073931e-12,0.4305293640386943,0.22458421313430577,,,False
77,1.6179261859606042,0.09475320654108407,94.75320654108407,6.7671190052318356e-12,0.37389276710331304,0.48294886712016605,,,False
78,0.7315829472664874,0.050429526892137436,50.42952689213744,6.00333811575844e-12,0.2109244292417711,0.29009113721271323,391.0,29.973990417522245,True
79,1.5006111166465728,0.09934985360261667,99.34985360261666,7.92685625787446e-12,0.22457997395097967,0.4171667891917257,,,False
80,0.49785363656335035,0.06027488680927652,60.27488680927652,4.425004948171244e-12,0.20033901124987918,0.3239819618453447,,,False
